id,name,website_url,category,location,has_website,website_score,is_outdated,email,phone,status,notes,analyzed_at,created_at,source,external_id
33,WoodLand,,boutique,"City Mall 36, Shop No. 36, City Mall, Near Chokkar Nala, GE Road, Vishal Nagar, Raipur, Chhattisgarh 492006, raipur, 492001",False,,False,,,new,,,2026-08-01 18:54:14.872729,openstreetmap,node/4445400230
34,DLF brands,,boutique,"City Mall 36, Ground Floor, City Mall 36, Shop no. 6, G.E Road, NH - 6, Vishal Nagar, Raipur, Chhattisgarh, raipur, 492001",False,,False,,,new,,,2026-08-01 18:54:14.874329,openstreetmap,node/4445425881
36,manyavar,https://www.manyavar.com/,boutique,"shop no. 13,14, vidhan sadha road,mowa,, Raipur, 492007",True,,False,,+91 7714062559,new,,,2026-08-01 18:54:14.882623,openstreetmap,node/4446161497
3,Mufti,,boutique,"NH43 PachpediNaka,bajaj colony,gurumukh singh nagar, Raipur, 492001",False,,False,,+91 7714030503,new,,,2026-08-01 11:10:44.951020,openstreetmap,node/4445433311
4,Planet Fashion,,boutique,"NH43 PachpediNaka,bajaj colony,gurumukh singh nagar, Raipur, 492001",False,,False,,+91 7714014444,new,,,2026-08-01 11:10:44.975726,openstreetmap,node/4445451341
5,Jhon Player,,boutique,"NH43 PachpediNaka,bajaj colony,gurumukh singh nagar, Raipur, 492001",False,,False,,+91 7714700157,new,,,2026-08-01 11:10:44.979659,openstreetmap,node/4445517405
6,Wills Lifestyle,,boutique,"NH43 PachpediNaka,bajaj colony,gurumukh singh nagar, Raipur, 492001",False,,False,,+91 7714700157,new,,,2026-08-01 11:10:44.983045,openstreetmap,node/4445551649
7,Brand Factory,,boutique,"NH43 PachpediNaka,bajaj colony,gurumukh singh nagar, Raipur, 492001",False,,False,,+91 7714016514,new,,,2026-08-01 11:10:44.986310,openstreetmap,node/4445559388
9,Woman,,boutique,"F-3,F-4, First Floor, Shyam Plaza, Beside Ritu Kumar, Pandri, Raipur, 492001",False,,False,,+91 7714058899,new,,,2026-08-01 11:10:44.992714,openstreetmap,node/4446150450
11,Shubkamna,,boutique,"Shyam Plaza,Pandri, Raipur, 492001",False,,False,,,new,,,2026-08-01 11:10:45.000180,openstreetmap,node/4446190771
12,Label Ritu Kumar,,boutique,"F1,F2, Amir Enter Prises Ritu Kumar ,Shyam Plaza, Pandri, Raipur, 492001",False,,False,,+91 7714024455,new,,,2026-08-01 11:10:45.002692,openstreetmap,node/4446193825
42,van heusen,https://www.vanheusen.com/,boutique,"shop no. 17, vidhan sabha rd,Mowa, Raipur, 492007",True,90.0,False,,+91 9977068369,new,,2026-08-02 16:40:07.428847,2026-08-01 18:54:14.891826,openstreetmap,node/4446216240
2,Samaya D trend,samayadtrend.com,Clothing,"Raipur, Chhattisgarh, IND",True,75.0,False,samaayadtrend@gmail.com,08269831000,new,,2026-08-01 16:59:27.482844,2026-07-30 16:04:45.459695,,
8,Nillinz Fashion Studio,https://www.savisfashionstudio.com,boutique,"Q.No. G-12, , Street Number 4, Phase-1, Shri Ram Nagar, Shankar Nagar,, Raipur, 492007",True,65.0,False,,+91 99071 01104,new,,2026-08-01 16:59:35.431820,2026-08-01 11:10:44.989710,openstreetmap,node/4446043508
10,Red Tape,https://redtape.com,boutique,"Bus Stand Road,Shyam Plaza, Raipur, 492001",True,90.0,False,,+91 9589202272,new,,2026-08-01 16:59:44.350640,2026-08-01 11:10:44.996378,openstreetmap,node/4446168185
13,Fastrack,https://www.fastrack.in/,boutique,"G5, Ground Floor, Shyam Plaza, Near Pandri Bus Stand, Pandri Road, Raipur, 492001",True,,False,,+91 7714092336,new,,,2026-08-01 18:53:00.074891,openstreetmap,node/4446217570
14,Wills Lifestyle,https://www.shopwillslifestyle.com/,boutique,"Shop No.42, City Centre Mall, New City Centre Mall, Pandri Rd, Pandri, Raipur, Chhattisgarh, Raipur, 492001",True,,False,,+9199770 03789,new,,,2026-08-01 18:53:00.079737,openstreetmap,node/4446889637
15,max fashions,,boutique,"GE road,mohba bazar,maruti vihar,kota, raipur",False,,False,,,new,,,2026-08-01 18:53:00.081843,openstreetmap,node/4447084327
16,sachipro store,,boutique,"shop-101, raipur, 492001",False,,False,,+919713227150,new,,,2026-08-01 18:53:00.083206,openstreetmap,node/4447344141
